,order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,status
387,2ab2d565315e05cc62d7462113cc1ff0,8375daf7c9c3eea1fc3b36072672223c,delivered,2018-04-24 22:12:17,2018-04-26 03:51:30,2018-04-27 11:35:00,2018-05-03 19:51:14,2018-05-23,1,4aa6014eceb682077f9dc4bffebc05b0,b8bc237ba3788b23da09c0f1f3a3288c,2018-05-03 03:51:30,299.99,21.09,utilidades_domesticas,43.0,1002.0,3.0,10150.0,89.0,15.0,40.0,housewares,326489271c23dd3128b4480220e5232a,38405,uberlandia,MG,Repeater
389,a8f412e6559ed350a64d8b9f2ecbcc84,6747dabc507b18f4a1300777643744d7,delivered,2018-02-19 21:09:50,2018-02-20 21:08:30,2018-02-21 21:23:03,2018-03-05 23:29:59,2018-03-15,1,4aa6014eceb682077f9dc4bffebc05b0,b8bc237ba3788b23da09c0f1f3a3288c,2018-02-26 21:08:30,299.99,51.97,utilidades_domesticas,43.0,1002.0,3.0,10150.0,89.0,15.0,40.0,housewares,21a2d9dc71459dbd3dad219cb9681964,38411,uberlandia,MG,Repeater
393,710d9b541d2ae52ef56ef33f5e1b795c,8f9cdc2bab0d953cab1e98d25253d8fe,delivered,2017-09-27 13:45:14,2017-09-27 13:56:24,2017-09-28 15:44:41,2017-10-06 22:28:04,2017-10-25,1,4aa6014eceb682077f9dc4bffebc05b0,b8bc237ba3788b23da09c0f1f3a3288c,2017-10-03 13:56:24,279.99,28.28,utilidades_domesticas,43.0,1002.0,3.0,10150.0,89.0,15.0,40.0,housewares,339c527109c4c03e8e09bd4b593dab5f,15760,urania,SP,Repeater
420,4552d969c2ffe2ac446b7a970e6953fc,3b0b34191384cc53acb9197de6d8f3a4,delivered,2017-10-06 18:38:28,2017-10-06 19:49:18,2017-10-20 18:47:25,2017-10-23 19:50:07,2017-10-24,2,e3e8e08714c40e0101bd225f06bf4fef,f8db351d8c4c4c22c6835c19a46f01b0,2017-10-13 19:49:18,24.9,5.17,utilidades_domesticas,52.0,514.0,3.0,600.0,17.0,7.0,12.0,housewares,e53821a413d5b137cd9005b41f09dfe0,6083,osasco,SP,Repeater
421,4552d969c2ffe2ac446b7a970e6953fc,3b0b34191384cc53acb9197de6d8f3a4,delivered,2017-10-06 18:38:28,2017-10-06 19:49:18,2017-10-20 18:47:25,2017-10-23 19:50:07,2017-10-24,1,6f657bbc44514ab511c65b891301208d,febab0275244b9a49a623f0bd613ca2f,2017-10-13 19:49:18,76.0,15.84,utilidades_domesticas,58.0,1782.0,1.0,1250.0,22.0,36.0,22.0,housewares,e53821a413d5b137cd9005b41f09dfe0,6083,osasco,SP,Repeater
494,493c01f6ccb506898f25e3b7eb123d18,36a6601c12cfce27029bbd8be26430dc,delivered,2018-02-17 14:07:46,2018-02-17 14:26:40,2018-02-19 22:28:52,2018-02-24 03:19:11,2018-03-22,1,30ac6df06dc59ad72cf2f158fc2d904c,0dd184061fb0eaa7ca37932c68ab91c5,2018-02-22 13:26:40,120.0,23.0,utilidades_domesticas,53.0,1034.0,2.0,16550.0,22.0,65.0,40.0,housewares,cb4f48aa5b4657435b012a65f2a122eb,35960,santa barbara,MG,Repeater
513,75d4b0b71e66d09b6070bd54c61e20fd,88196bd808ae8abe1b944efe1807b508,delivered,2017-11-19 20:06:12,2017-11-19 20:15:27,2017-11-22 17:08:54,2017-11-23 16:39:05,2017-12-01,1,188c2b55dbae7df073f4f4a24e232ce9,04e38a233f726ef161074ab1c9b0399a,2017-11-23 20:15:27,19.9,9.34,utilidades_domesticas,49.0,186.0,1.0,800.0,30.0,30.0,20.0,housewares,251e658613a224723f8a077946183b20,4363,sao paulo,SP,Repeater
514,719a96d91d44ae214ba638b02db33331,b5d5a9c1b46698fde8e82171124dcf4a,delivered,2017-11-24 20:36:18,2017-11-24 23:34:29,2017-12-04 15:42:23,2017-12-05 15:14:10,2017-12-08,1,188c2b55dbae7df073f4f4a24e232ce9,04e38a233f726ef161074ab1c9b0399a,2017-11-29 23:31:37,19.9,9.34,utilidades_domesticas,49.0,186.0,1.0,800.0,30.0,30.0,20.0,housewares,1b5720c7b0ee7183c2eafe3dba65111b,9190,santo andre,SP,Repeater
517,34ab0cb9a828372a0c1de84088b216ae,66aeda5555542d7cc245264c97dd52c3,delivered,2018-07-03 17:08:07,2018-07-05 16:32:49,2018-07-04 12:09:00,2018-07-05 23:14:21,2018-07-17,1,a9ccb9dca11ae8ca804b47417d0411f2,3ab971ce71839580d2ae5b4e40fe8044,2018-07-06 17:31:53,169.9,19.36,utilidades_domesticas,46.0,1021.0,1.0,8600.0,45.0,35.0,35.0,housewares,c893e6fe915add1b28ef934048f0023e,13500,rio claro,SP,Repeater
557,99bd1b701f5689d68265a47f0b793d20,178706e9cab0f7d13bb90fbf946269c5,delivered,2017-08-05 14:52:23,2017-08-05 15:05:13,2017-08-09 16:51:18,2017-08-10 14:23:08,2017-08-21,1,0bb7cb61f1957f79dac582ab66ccdc1f,e26901d5ab434ce92fd9b5c256820a4e,2017-08-11 15:05:13,23.9,9.34,utilidades_domesticas,45.0,561.0,2.0,553.0,18.0,9.0,15.0,housewares,07f61caa1c9e850c14e94854cec87545,9686,sao bernardo do campo,SP,Repeater
578,1272198ea0829564b49fe8bb6ad3ea27,2d2ad21a86347b86b40390702d660410,delivered,2017-07-29 15:38:47,2017-07-29 15:50:20,2017-08-04 20:03:59,2017-08-07 18:56:00,2017-08-25,2,c32788bc915b1ce4316822a1b7c4ec91,53e4c6e0f4312d4d2107a8c9cddf45cd,2017-08-03 15:50:20,47.99,21.36,utilidades_domesticas,58.0,285.0,2.0,2000.0,28.0,60.0,28.0,housewares,5036f4227f2e546879f581d8fd3e6ec6,15150,monte aprazivel,SP,Repeater
602,9b1936414d93398380f940b3f86edb5b,701f4ca7c23a770c833db304d7906b24,delivered,2017-09-24 19:21:57,2017-09-24 19:30:23,2017-09-27 16:48:20,2017-10-03 18:15:59,2017-10-19,1,222efa72a47277d611b8b38d71149afd,cd06602b43d8800bd0afad514919d35c,2017-09-28 19:30:23,6.0,15.1,utilidades_domesticas,56.0,148.0,1.0,300.0,16.0,12.0,20.0,housewares,93360190b9375a40b65720ee99387a4a,87005,maringa,PR,Repeater
628,5246f33ed41cfa5f5b8f64e7bc8cf0c2,299f7b5125c8fbe1761a1b320c34fc7d,delivered,2017-05-05 08:45:28,2017-05-05 08:55:17,2017-05-10 14:43:14,2017-05-17 15:00:14,2017-06-08,1,0581c05e8e3c0d17ea0ef8904419ec00,53e4c6e0f4312d4d2107a8c9cddf45cd,2017-05-11 08:55:17,52.0,17.2,utilidades_domesticas,59.0,667.0,1.0,1250.0,30.0,30.0,30.0,housewares,b8b3c435a58aebd788a477bed8342910,95585,arroio do sal,RS,Repeater
698,4941da6e1a4eef723674c7148152c4f6,5c4fbfda89ecf784397c5a99ec36601a,delivered,2018-06-11 16:49:47,2018-06-12 04:57:47,2018-06-12 15:05:00,2018-06-13 18:39:37,2018-06-26,2,2abf28861922ed5da75726c7f3eb58f4,4992e76a42cb3aad7a7047e0d3d7e729,2018-06-18 04:57:47,39.9,11.81,utilidades_domesticas,29.0,442.0,3.0,1000.0,20.0,15.0,20.0,housewares,7a380cb5434e6b6b5b37d45bb99dbe8a,9890,sao bernardo do campo,SP,Repeater
699,4941da6e1a4eef723674c7148152c4f6,5c4fbfda89ecf784397c5a99ec36601a,delivered,2018-06-11 16:49:47,2018-06-12 04:57:47,2018-06-12 15:05:00,2018-06-13 18:39:37,2018-06-26,1,d1af7952c3c2ac8dfdc63210af2299e6,1e8b33f18b4f7598d87f5cbee2282cc2,2018-06-14 04:57:47,159.9,16.88,cama_mesa_banho,60.0,279.0,1.0,2000.0,56.0,15.0,50.0,bed_bath_table,7a380cb5434e6b6b5b37d45bb99dbe8a,9890,sao bernardo do campo,SP,Repeater
704,b047dac5341ea96271595f661f547ede,6ec6484eddf235f3a0e07223fbdf2d4e,delivered,2017-11-21 08:24:21,2017-11-22 02:56:31,2017-11-23 01:26:50,2017-12-07 19:49:54,2017-12-07,1,11dcc970f7a5581e1bf777b6da3f7096,06579cb253ecd5a3a12a9e6eb6bf8f47,2017-11-28 02:56:31,69.9,39.42,utilidades_domesticas,42.0,659.0,2.0,1038.0,41.0,22.0,28.0,housewares,13bf0b4120921402dff563cda4383ff6,21320,rio de janeiro,RJ,Repeater
705,02a98752595ee9d94c570ad3e18055b4,7bb5b53c7d838d8ca7e94ce809b7d784,delivered,2018-08-02 12:05:59,2018-08-02 13:04:18,2018-08-03 16:15:00,2018-08-07 18:18:30,2018-08-07,1,11dcc970f7a5581e1bf777b6da3f7096,06579cb253ecd5a3a12a9e6eb6bf8f47,2018-08-06 13:04:18,68.9,11.5,utilidades_domesticas,42.0,659.0,2.0,1038.0,41.0,22.0,28.0,housewares,272f0ffe236b0bf765e14f5a2b577a6b,9710,sao bernardo do campo,SP,Repeater
723,1c1d7c04efff33ea9ebb71907b576f50,513f69cbf70fa1089df98c833bbfd6bc,delivered,2018-07-24 16:33:06,2018-07-24 16:45:14,2018-07-25 15:32:00,2018-07-30 18:26:45,2018-08-22,1,11dcc970f7a5581e1bf777b6da3f7096,06579cb253ecd5a3a12a9e6eb6bf8f47,2018-07-27 16:45:14,68.9,18.28,utilidades_domesticas,42.0,659.0,2.0,1038.0,41.0,22.0,28.0,housewares,13bf0b4120921402dff563cda4383ff6,21320,rio de janeiro,RJ,Repeater
730,01b37f50cf3098b3dd9d0450a188348c,d5161150c2e2a177eb4d49c4e2ab7990,delivered,2018-06-26 16:59:10,2018-06-28 02:15:53,2018-06-29 15:36:00,2018-07-04 17:16:34,2018-07-18,1,11dcc970f7a5581e1bf777b6da3f7096,06579cb253ecd5a3a12a9e6eb6bf8f47,2018-07-03 02:15:53,68.9,18.28,utilidades_domesticas,42.0,659.0,2.0,1038.0,41.0,22.0,28.0,housewares,a74cca5b53aa3fb9a6841f847033dcc1,30150,belo horizonte,MG,Repeater
760,b86149c8139bc8a77792c2b24942a0db,d08fccfa54819f3ddc4a30e30b4a0565,delivered,2017-06-05 18:44:05,2017-06-05 18:55:17,2017-06-13 13:20:17,2017-06-14 14:42:39,2017-06-26,1,aa4c5e610242fdfd79969a9577dfe112,53e4c6e0f4312d4d2107a8c9cddf45cd,2017-06-09 18:55:17,71.0,9.34,utilidades_domesticas,60.0,614.0,1.0,5300.0,30.0,35.0,30.0,housewares,b0b057559c54c99e41a21c40c08f7780,4012,sao paulo,SP,Repeater
783,06d5cbe68295558fd6c48998db3ea397,e3b51585362f32e3e0292d6dccb80882,delivered,2018-03-27 14:04:31,2018-03-27 14:15:12,2018-03-28 21:25:17,2018-03-29 19:24:35,2018-04-10,2,c20a3f598c16d77249da67e81caa8317,955fee9216a65b617aa5c0531780ce60,2018-04-02 14:15:12,33.0,12.24,utilidades_domesticas,57.0,529.0,4.0,575.0,16.0,18.0,12.0,housewares,d75acd4c5b7b4dfd32b9d9172b195419,2082,sao paulo,SP,Repeater
784,06d5cbe68295558fd6c48998db3ea397,e3b51585362f32e3e0292d6dccb80882,delivered,2018-03-27 14:04:31,2018-03-27 14:15:12,2018-03-28 21:25:17,2018-03-29 19:24:35,2018-04-10,1,371fa349d92646bbeea5873df0bcdc5a,4830e40640734fc1c52cd21127c341d4,2018-04-03 14:15:12,39.0,4.9,utilidades_domesticas,49.0,342.0,1.0,490.0,20.0,18.0,16.0,housewares,d75acd4c5b7b4dfd32b9d9172b195419,2082,sao paulo,SP,Repeater
785,06d5cbe68295558fd6c48998db3ea397,e3b51585362f32e3e0292d6dccb80882,delivered,2018-03-27 14:04:31,2018-03-27 14:15:12,2018-03-28 21:25:17,2018-03-29 19:24:35,2018-04-10,3,f70dd37d94cc7026ca198b9d7574c7bc,bbaff50f3b708fda865918715276cd87,2018-04-02 14:15:12,51.0,12.48,alimentos_bebidas,43.0,731.0,2.0,1350.0,28.0,15.0,20.0,food_drink,d75acd4c5b7b4dfd32b9d9172b195419,2082,sao paulo,SP,Repeater
855,b5a801d2465c927e096449f176459916,2b3c275c26ea00e57c5711171999f4da,delivered,2017-05-01 18:11:50,2017-05-01 18:25:23,2017-05-05 12:53:36,2017-05-23 12:32:22,2017-06-13,1,cb6d69daafeddab34122e1de88e1274c,8e6cc767478edae941d9bd9eb778d77a,2017-05-09 18:25:23,15.94,26.82,utilidades_domesticas,58.0,379.0,1.0,1850.0,25.0,21.0,21.0,housewares,5ffbc70da7ad1808b6899421caa84fbe,50670,recife,PE,Repeater
861,d5a9bcd8e843bed6dc81287ccf656d3f,2496d71f2e9f0ce3e43dcbf3905b0a9a,delivered,2018-06-18 17:47:59,2018-06-18 18:03:04,2018-06-19 13:21:00,2018-06-28 16:53:41,2018-07-17,1,c65f71634a9d0de5b4a1d7dbb6d3ae01,4c18691b6037662be2df78a765d98ab5,2018-06-21 18:03:04,45.5,18.47,utilidades_domesticas,42.0,588.0,3.0,500.0,35.0,15.0,20.0,housewares,de73179fb08ccaa16bfbf6c139879855,78050,cuiaba,MT,Repeater
887,39897c1c37144a25b897e4d5c98fed20,c6dcc1dce60566f15d0ce235d92afeb6,delivered,2017-07-28 06:22:12,2017-07-29 02:23:19,2017-07-31 18:05:48,2017-08-08 21:43:37,2017-08-17,1,82b73150f90f4fef92913e35b9984bb7,91f848e9f4be368f4318775aac733370,2017-08-03 02:23:19,109.99,16.4,utilidades_domesticas,40.0,545.0,3.0,2200.0,48.0,25.0,25.0,housewares,32c3312cd5a2dddfdcbd359694cd7ae8,15440,nova granada,SP,Repeater
892,c5f0b9e8bd23e3d37855d76739573355,2d168556d327700dc590e84a3b12112d,delivered,2018-02-05 17:50:38,2018-02-05 18:50:35,2018-02-08 22:32:27,2018-02-20 21:55:22,2018-03-06,1,de1eee6c50298db6028af08bd88a702a,994f04b3718c2bab35c2adfa8afecd2a,2018-02-09 18:50:35,59.9,16.18,utilidades_domesticas,48.0,313.0,1.0,1100.0,25.0,12.0,35.0,housewares,fc1c735fd279ad7321e7b40a4f9d361f,37890,muzambinho,MG,Repeater
933,04bef5ebaab368e72d66decdad88fddf,55ca07ff32dc30f00ded4c99f8ea9124,delivered,2017-07-06 16:54:03,2017-07-06 17:10:14,2017-07-07 20:11:22,2017-07-19 12:57:51,2017-08-01,1,c2a1ff8408a1c857c8730e4d12da714e,95e03ca3d4146e4011985981aeb959b9,2017-07-14 17:10:14,69.9,16.74,utilidades_domesticas,56.0,1221.0,3.0,1450.0,21.0,17.0,22.0,housewares,0bc9c245cd69735af23eefdd89d74e7e,9671,sao bernardo do campo,SP,Repeater
935,191fa27b2a907e113d60ddfd7dc29696,9c04b06940dd762c639ce63ce827caf6,delivered,2017-06-10 21:50:43,2017-06-10 22:05:13,2017-06-12 17:57:52,2017-06-19 19:22:27,2017-07-07,1,c2a1ff8408a1c857c8730e4d12da714e,95e03ca3d4146e4011985981aeb959b9,2017-06-18 22:05:13,69.9,16.74,utilidades_domesticas,56.0,1221.0,3.0,1450.0,21.0,17.0,22.0,housewares,606441378b517f9eeb89f9154a1c4d4f,4857,sao paulo,SP,Repeater
958,d4e770b405f1a265106474eaf37ded74,7c7b0230efd9524afdba267f0d4c70b7,delivered,2017-10-04 18:18:28,2017-10-04 18:35:08,2017-10-05 21:05:58,2017-10-13 14:44:59,2017-11-01,1,f7f59e6186e10983a061ac7bdb3494d6,729f06993dac8e860d4f02d7088ca48a,2017-10-10 18:35:08,34.9,20.84,utilidades_domesticas,59.0,459.0,1.0,3700.0,32.0,22.0,46.0,housewares,9c18cd0ba86443dce5c2e5157cbd2eff,88032,florianopolis,SC,Repeater
959,d4e770b405f1a265106474eaf37ded74,7c7b0230efd9524afdba267f0d4c70b7,delivered,2017-10-04 18:18:28,2017-10-04 18:35:08,2017-10-05 21:05:58,2017-10-13 14:44:59,2017-11-01,2,f7f59e6186e10983a061ac7bdb3494d6,729f06993dac8e860d4f02d7088ca48a,2017-10-10 18:35:08,34.9,20.84,utilidades_domesticas,59.0,459.0,1.0,3700.0,32.0,22.0,46.0,housewares,9c18cd0ba86443dce5c2e5157cbd2eff,88032,florianopolis,SC,Repeater
981,b77ffad8b6c7bb5dedfb6a61f8e7cf57,90e5ceff72c2844348d875011815f1de,delivered,2018-01-09 23:49:14,2018-01-10 10:31:41,2018-01-15 23:35:01,2018-02-08 12:51:47,2018-02-09,1,24376321a0e7d0debc7a632cd4c9dda3,430315b7bb4b6e4b3c978f9dfa9b0558,2018-01-22 00:38:29,69.0,25.51,utilidades_domesticas,39.0,220.0,1.0,900.0,40.0,8.0,18.0,housewares,c5400d2fca348bd1313426efe4b10a51,88010,florianopolis,SC,Repeater
982,b77ffad8b6c7bb5dedfb6a61f8e7cf57,90e5ceff72c2844348d875011815f1de,delivered,2018-01-09 23:49:14,2018-01-10 10:31:41,2018-01-15 23:35:01,2018-02-08 12:51:47,2018-02-09,2,24376321a0e7d0debc7a632cd4c9dda3,430315b7bb4b6e4b3c978f9dfa9b0558,2018-01-22 00:38:29,69.0,25.51,utilidades_domesticas,39.0,220.0,1.0,900.0,40.0,8.0,18.0,housewares,c5400d2fca348bd1313426efe4b10a51,88010,florianopolis,SC,Repeater
983,d967b02c8e9ac87edb380250c652a6b2,b95ff7c80668f3bf98651036308739d7,delivered,2017-11-06 18:17:50,2017-11-07 03:31:18,2017-11-08 18:51:30,2017-11-23 19:51:33,2017-12-05,1,d43c65f300c5cfaae005f1f954fc0b15,fffd5413c0700ac820c7069d66d98c89,2017-11-10 18:31:22,78.9,17.8,utilidades_domesticas,33.0,377.0,2.0,7450.0,23.0,80.0,12.0,housewares,f31ac54af6af7097bddd1053011e7a3a,96065,pelotas,RS,Repeater
991,cb7cdbc81a72944010981bb56fe37f54,e333a179b5ac600d294b441075d3de4c,delivered,2018-05-11 15:35:55,2018-05-11 16:18:32,2018-05-14 15:28:00,2018-05-16 14:19:36,2018-05-21,1,8b50a72d52d7a91fb19d19fbe069e2f2,9f505651f4a6abe901a56cdc21508025,2018-05-15 16:18:32,44.99,7.39,utilidades_domesticas,54.0,1754.0,1.0,250.0,20.0,8.0,13.0,housewares,6edeeed37ddd3dee7559f358b023ef9b,12917,braganca paulista,SP,Repeater
